"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-21","2.9"," 0734"," 0734","0.0","0.0","0.0",,"17.8","10.6",,"   70","   60",,"6.7","10.3",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-22","2.5"," 2252"," 2252","34.0","0.0","0.0",,"13.9","10.0",,"  140","  140",,"6.3","9.4","    1",,,,"    1",,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-23","2.7"," 2341"," 2341","2.8","0.0","0.0",,"11.7","7.2",,"  280","  290",,"8.0","12.5","    1",,,,"    1",,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-24","5.2"," 1636"," 1532","0.0","0.0","0.0",,"15.6","6.1",,"  290","  280",,"9.8","14.8",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-25","1.9"," 2202"," 2201","0.0","0.0","0.0",,"16.7","8.9",,"  220","  210",,"6.3","9.4","    1",,,,"    1",,,,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-26","4.7"," 1233"," 1238","3.6","0.0","0.0",,"11.1","1.1",,"   40","   50",,"9.4","14.3","    1",,,,"    1",,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-27","3.4"," 0105"," 0519","0.0","0.0","0.0",,"6.7","-1.7",,"   40","   20",,"7.6","10.3",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-28","3.6"," 1700"," 1657","8.6","0.0","0.0",,"9.4","2.2",,"  150","  150",,"8.0","13.0","    1",,,,"    1",,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-29","2.9"," 0602"," 0417","40.1","0.0","0.0",,"11.7","8.9",,"  160","  170",,"7.2","11.2","    1",,,,"    1",,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-30","4.8"," 0447"," 0446","62.2","0.0","0.0",,"10.0","5.0",,"   20","   30",,"10.7","16.1","    1",,,,"    1",,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-31","2.6"," 0125"," 1145","0.3","0.0","0.0",,"13.9","7.2",,"  340","  330",,"6.3","8.0","    1",,,,,,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-01","2.1"," 0621"," 0620","0.0","0.0","0.0",,"21.1","8.9",,"   50","   70",,"6.3","8.9",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-02","2.0"," 1436"," 1731","0.0","0.0","0.0",,"20.0","8.9",,"  170","  150",,"5.8","7.2",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-03","2.2"," 1622"," 1622","0.0","0.0","0.0",,"19.4","8.3",,"  160","  150",,"6.3","8.9","    1",,,,,,,,,,"    1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-04","1.2"," 1450"," 1449","0.0","0.0","0.0",,"24.4","8.3",,"  270","  260",,"4.5","5.8","    1",,,,,,,"    1",,,"    1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-05","2.9"," 1526"," 1505","0.0","0.0","0.0",,"23.9","13.3",,"  150","  170",,"6.7","9.8",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-06","1.8"," 1045"," 1103","0.0","0.0","0.0",,"25.6","14.4",,"   60","  110",,"5.8","6.7",,,,,,,,"    1",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-07","3.1"," 1344"," 1519","0.0","0.0","0.0",,"33.3","13.3",,"  230","  230",,"8.0","11.6",,,,,,,"    1","    1",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-08","2.8"," 1637"," 1728","0.0","0.0","0.0",,"26.7","17.8",,"  160","  170",,"6.7","10.7",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-09","3.4"," 1702"," 2014","7.6","0.0","0.0",,"20.0","6.7",,"  290","  290",,"7.6","11.6","    1",,,,"    1",,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-10","4.4"," 0054"," 0225","0.0","0.0","0.0",,"16.7","5.6",,"  300","  310",,"8.0","13.4",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-11","3.0"," 2158"," 0143","0.0","0.0","0.0",,"24.4","11.1",,"   30","  240",,"5.8","9.4",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-12","2.4"," 2237"," 2236","0.0","0.0","0.0",,"19.4","11.1",,"  260","  260",,"5.8","7.6",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-13","2.2"," 0737"," 0654","0.0","0.0","0.0",,"13.3","8.3",,"   60","   70",,"5.8","8.0",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-14","2.3"," 1321"," 1103","0.0","0.0","0.0",,"19.4","7.2",,"   50","   60",,"5.4","7.6",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-15","3.0"," 2038"," 2111","0.0","0.0","0.0",,"22.8","10.0",,"   80","   60",,"7.2","9.8",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-16","3.3"," 1750"," 0741","7.9","0.0","0.0",,"13.9","7.8",,"   80","  140",,"6.3","8.9","    1",,,,"    1",,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-17","3.0"," 1520"," 1646","0.3","0.0","0.0",,"12.2","7.8",,"  270","  260",,"6.7","10.3","    1",,,,,,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-18","3.2"," 1506"," 1506","0.0","0.0","0.0",,"13.9","5.6",,"  300","  290",,"7.2","10.7",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-19","3.1"," 1154"," 1248","0.0","0.0","0.0",,"17.2","7.8",,"  290","  290",,"6.7","9.8",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-20","2.2"," 2325"," 2324","0.0","0.0","0.0",,"21.1","8.3",,"  230","  230",,"5.4","7.2",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-21","3.0"," 1608"," 1607","0.8","0.0","0.0",,"20.6","11.7",,"  190","  190",,"8.0","13.4","    1",,,,"    1",,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-22","2.6"," 1706"," 1433","0.0","0.0","0.0",,"22.2","10.6",,"  270","  260",,"6.7","11.6","    1",,,,,,"    1","    1",,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-23","2.9"," 1455"," 1453","0.0","0.0","0.0",,"20.0","6.7",,"  280","  280",,"7.2","10.7",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-24","2.5"," 2228"," 1543","0.0","0.0","0.0",,"20.0","7.8",,"  230","  170",,"5.8","8.9",,,,,"    1",,,,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-25","3.1"," 2135"," 2034","40.6","0.0","0.0",,"11.1","7.8",,"   40","   60",,"6.7","9.4","    1",,,,"    1",,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-26","3.6"," 2216"," 2324","17.5","0.0","0.0",,"11.7","8.9",,"   60","   60",,"7.6","9.8","    1",,,,"    1",,"    1","    1",,,"    1",,"    1",,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-27","3.3"," 1752"," 1751","1.3","0.0","0.0",,"14.4","5.0",,"  290","  290",,"8.9","13.0","    1",,,,,,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-28","4.3"," 1626"," 1500","0.0","0.0","0.0",,"13.3","4.4",,"  300","  300",,"9.4","16.1",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04-29","4.0"," 1554"," 1558","0.0","0.0","0.0",,"20.6","7.2",,"  270","  260",,"9.4","14.8",,,,,,,,,,,,,,,,,,
